xlat,xlong,qrain_avg_150.0,rainc_avg,rho_avg_150.0,wsp_avg_150.0
56.456413,4.514496,0.0000056236,0E-8,1.2262756894,10.7231771497
53.540794,6.417633,0.0000051765,0E-8,1.2243231227,9.6846841043
54.034439,5.616699,0.0000052029,0E-8,1.2239671926,10.2312660841
56.127415,5.634399,0.0000057058,0E-8,1.2259223637,10.6643631455
56.541122,6.484955,0.0000057462,0E-8,1.2263924045,10.7733629736
54.803940,5.590851,0.0000054149,0E-8,1.2245601475,10.4060285467
55.743721,6.891663,0.0000053039,0E-8,1.2257046891,10.5375530479
57.031696,5.222595,0.0000060626,0E-8,1.2269491279,10.8987945684
56.122921,5.191650,0.0000056318,0E-8,1.2259554863,10.6567845481
56.506035,4.800781,0.0000057064,0E-8,1.2263357021,10.7331250297
52.946941,5.112732,0.0000052690,0E-8,1.2228901769,9.3517671369
53.836502,6.312927,0.0000051328,0E-8,1.2242847649,10.0924035938
53.977970,4.549835,0.0000052020,0E-8,1.2237275244,10.2689219843
53.384586,5.060944,0.0000050921,0E-8,1.2234861823,9.9310235594
54.695366,5.995850,0.0000053455,0E-8,1.2244632182,10.3821138213
56.083050,5.398224,0.0000056107,0E-8,1.2259031954,10.6547072961
57.210823,4.317017,0.0000062967,0E-8,1.2270019510,10.8716431318
54.712250,5.468018,0.0000052221,0E-8,1.2244644682,10.3911089159
54.766735,5.837677,0.0000052927,0E-8,1.2245214876,10.3981019380
55.148903,4.356873,0.0000054773,0E-8,1.2249895321,10.5043495894
54.229851,6.845947,0.0000052051,0E-8,1.2245065068,10.2385993169
57.250278,6.435577,0.0000062933,0E-8,1.2272922371,11.0377056801
57.326099,5.912140,0.0000063002,0E-8,1.2273674699,11.0542182436
53.250378,5.460144,0.0000050224,0E-8,1.2234729580,9.5725439589
53.588810,6.315460,0.0000052643,0E-8,1.2243027628,9.8189158540
54.454964,5.714569,0.0000052357,0E-8,1.2242405420,10.3355349330
54.607380,5.919281,0.0000053855,0E-8,1.2243796443,10.3617919979
55.623684,4.431061,0.0000054040,0E-8,1.2254907681,10.5872644022
55.102596,4.464935,0.0000053275,0E-8,1.2249320349,10.4927473247
52.755367,6.613556,0.0000048313,0E-8,1.2217229310,8.5401565763
55.152901,5.850342,0.0000053538,0E-8,1.2249278368,10.4677303177
57.074852,5.060638,0.0000060198,0E-8,1.2269764313,10.8950874714
53.320206,6.414307,0.0000051931,0E-8,1.2242098392,8.8327839649
57.199360,6.496979,0.0000061090,0E-8,1.2272212190,11.0118792139
53.649094,4.255310,0.0000049407,0E-8,1.2233659137,10.2091921401
53.857262,6.215424,0.0000051419,0E-8,1.2242171996,10.1120701613
54.972538,5.265656,0.0000052562,0E-8,1.2247550850,10.4494977334
55.852634,5.255493,0.0000055236,0E-8,1.2256934957,10.6105146655
56.660385,4.661987,0.0000058290,0E-8,1.2264960598,10.7652695725
57.301331,5.156647,0.0000063572,0E-8,1.2272333153,10.9647267464
52.699097,5.121826,0.0000051801,0E-8,1.2227192147,8.6490426875
52.520378,6.022949,0.0000048577,0E-8,1.2227129443,8.3157957846
53.478771,4.204010,0.0000051979,0E-8,1.2231687409,10.1712308067
56.262600,5.603607,0.0000057943,0E-8,1.2260674992,10.6962061944
56.898464,4.902893,0.0000061814,0E-8,1.2267704361,10.8375008847
56.424770,5.566376,0.0000058481,0E-8,1.2262445085,10.7343345443
57.306690,4.138733,0.0000062186,0E-8,1.2270514651,10.8756468872
56.607540,6.670258,0.0000056734,0E-8,1.2264927707,10.7829383129
53.965889,6.193512,0.0000052176,0E-8,1.2241826880,10.1692257254
57.433846,5.480408,0.0000063043,0E-8,1.2274432599,11.0378399110
53.671177,6.717468,0.0000052748,0E-8,1.2245821506,9.8431727063
54.000637,4.826233,0.0000051941,0E-8,1.2237730738,10.2673773557
53.905090,6.112274,0.0000051657,0E-8,1.2241483327,10.1434241483
54.483307,6.939941,0.0000052857,0E-8,1.2246164003,10.3020077450
56.333817,6.676331,0.0000056809,0E-8,1.2261951380,10.6972785949
